"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\JuliaLind\Desktop\school\L3\src\config\ErrorHandler.js", "JavaScript", 32, 18, 6, 56
"c:\Users\JuliaLind\Desktop\school\L3\src\config\create-app.js", "JavaScript", 18, 13, 6, 37
"c:\Users\JuliaLind\Desktop\school\L3\src\config\start-app.js", "JavaScript", 11, 6, 2, 19
"c:\Users\JuliaLind\Desktop\school\L3\src\controllers\ApiController.js", "JavaScript", 35, 6, 14, 55
"c:\Users\JuliaLind\Desktop\school\L3\src\routes\api\exrRouter.js", "JavaScript", 0, 0, 1, 1
"c:\Users\JuliaLind\Desktop\school\L3\src\routes\router.js", "JavaScript", 12, 6, 4, 22
"c:\Users\JuliaLind\Desktop\school\L3\src\server.js", "JavaScript", 14, 7, 4, 25
"c:\Users\JuliaLind\Desktop\school\L3\src\services\ConversionService.js", "JavaScript", 15, 0, 9, 24
"c:\Users\JuliaLind\Desktop\school\L3\src\services\RateService.js", "JavaScript", 25, 0, 7, 32
"Total", "-", 162, 56, 53, 271
