"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\JuliaLind\Desktop\school\L3\src\config\create-app.js", "JavaScript", -1, 1, 1, 1
"c:\Users\JuliaLind\Desktop\school\L3\src\config\start-app.js", "JavaScript", 0, 0, 1, 1
"c:\Users\JuliaLind\Desktop\school\L3\src\routes\api\router.js", "JavaScript", 0, 0, -4, -4
"c:\Users\JuliaLind\Desktop\school\L3\src\routes\api\v1\router.js", "JavaScript", 1, 0, -1, 0
"c:\Users\JuliaLind\Desktop\school\L3\src\routes\gui\router.js", "JavaScript", 0, 0, -1, -1
"c:\Users\JuliaLind\Desktop\school\L3\src\routes\router.js", "JavaScript", 1, 0, 2, 3
"c:\Users\JuliaLind\Desktop\school\L3\src\server.js", "JavaScript", 1, 0, 0, 1
"c:\Users\JuliaLind\Desktop\school\L3\src\services\ConversionService.js", "JavaScript", 1, 0, 0, 1
"c:\Users\JuliaLind\Desktop\school\L3\src\services\RateService.js", "JavaScript", 9, 1, 3, 13
"c:\Users\JuliaLind\Desktop\school\L3\src\services\SwaggerService.js", "JavaScript", -16, 16, 1, 1
"c:\Users\JuliaLind\Desktop\school\L3\src\services\lib\Average.js", "JavaScript", 48, 55, 12, 115
"c:\Users\JuliaLind\Desktop\school\L3\src\services\lib\RateMerger.js", "JavaScript", 23, 25, 6, 54
"c:\Users\JuliaLind\Desktop\school\L3\src\services\lib\functions.js", "JavaScript", 4, 7, 1, 12
"Total", "-", 71, 105, 21, 197
