"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\JuliaLind\Desktop\school\L3\src\config\ErrorHandler.js", "JavaScript", 36, 0, 48, 8, 92
"c:\Users\JuliaLind\Desktop\school\L3\src\config\create-app.js", "JavaScript", 17, 0, 14, 8, 39
"c:\Users\JuliaLind\Desktop\school\L3\src\config\start-app.js", "JavaScript", 11, 0, 6, 4, 21
"c:\Users\JuliaLind\Desktop\school\L3\src\config\swagger-spec.json", "JSON", 0, 0, 0, 1, 1
"c:\Users\JuliaLind\Desktop\school\L3\src\config\swagger.js", "JavaScript", 0, 0, 0, 1, 1
"c:\Users\JuliaLind\Desktop\school\L3\src\controllers\ApiController.js", "JavaScript", 50, 0, 51, 14, 115
"c:\Users\JuliaLind\Desktop\school\L3\src\routes\api\router.js", "JavaScript", 11, 0, 7, 6, 24
"c:\Users\JuliaLind\Desktop\school\L3\src\routes\api\v1\router.js", "JavaScript", 9, 0, 6, 7, 22
"c:\Users\JuliaLind\Desktop\school\L3\src\routes\router.js", "JavaScript", 15, 0, 6, 8, 29
"c:\Users\JuliaLind\Desktop\school\L3\src\server.js", "JavaScript", 5, 0, 7, 2, 14
"c:\Users\JuliaLind\Desktop\school\L3\src\services\ConversionService.js", "JavaScript", 10, 0, 13, 4, 27
"c:\Users\JuliaLind\Desktop\school\L3\src\services\RateService.js", "JavaScript", 34, 0, 45, 11, 90
"c:\Users\JuliaLind\Desktop\school\L3\src\services\SwaggerService.js", "JavaScript", 0, 0, 29, 6, 35
"c:\Users\JuliaLind\Desktop\school\L3\src\services\lib\Average.js", "JavaScript", 48, 0, 55, 12, 115
"c:\Users\JuliaLind\Desktop\school\L3\src\services\lib\RateMerger.js", "JavaScript", 23, 0, 25, 6, 54
"c:\Users\JuliaLind\Desktop\school\L3\src\services\lib\functions.js", "JavaScript", 4, 0, 7, 1, 12
"Total", "-", 273, 0, 319, 99, 691
